customer_id,age,gender,state,city,postal_code,latitude,longitude
23896.0,35,F,New York,New York,10002,40.71528587,-73.98588452
81708.0,36,F,South Carolina,North Augusta,29841,33.52516907,-81.94010218
68390.0,12,F,New Jersey,Scotch Plains,7076,40.6322541,-74.37336367
82697.0,67,F,Arizona,Scottsdale,85255,33.67846147,-111.8555607
52107.0,16,F,California,San Luis Obispo,93401,35.27538153,-120.6201284
72318.0,35,F,Florida,Gainesville,32607,29.64493467,-82.41790611
2537.0,68,M,New York,New York,10002,40.71528587,-73.98588452
62409.0,63,M,New York,Webster,14580,43.21908012,-77.44503942
82791.0,54,M,Colorado,Berkley,80221,39.8153303,-105.009295
87155.0,49,M,New York,New York,11214,40.59868178,-73.99630858
56107.0,16,M,Florida,Port Salerno,34997,27.11205898,-80.23267744
76834.0,57,M,New York,New York,10462,40.84217251,-73.85723543
42185.0,58,M,Washington,Bremerton,98312,47.56377891,-122.7588626
81117.0,56,M,New York,New York,10010,40.73903302,-73.98310267
80398.0,66,M,New Jersey,City of Orange,7050,40.76822851,-74.23490328
9476.0,65,M,Virginia,Newport News,23601,37.04588778,-76.46799791
60539.0,41,M,Arizona,Sun City West,85375,33.67818298,-112.3531562
75396.0,13,M,Ohio,Green,44312,41.01513205,-81.44070195
64128.0,45,M,Oregon,Beaverton,97225,45.50151815,-122.769757
15209.0,36,M,Tennessee,Columbia,38401,35.62393012,-87.02348253
48645.0,41,M,Ohio,Mason,45040,39.353711,-84.31248876
67234.0,17,M,Pennsylvania,Shanor-Northvue,16001,40.90955216,-79.94365429
9793.0,68,F,New York,New York,10024,40.78587973,-73.97818082
82476.0,65,F,New Jersey,Princeton,8540,40.36368691,-74.65663966
4212.0,41,F,Arizona,Nogales,85621,31.42411237,-111.0547099
98140.0,54,F,Illinois,Chicago,60623,41.84794106,-87.71815009
11197.0,63,F,California,Modesto,95356,37.71907403,-121.0264063
22981.0,14,F,Georgia,Stockbridge,30281,33.56265526,-84.19656328
27392.0,56,F,New York,New York,10025,40.79938666,-73.97009892
23077.0,50,F,New York,New York,10021,40.76996214,-73.95883836
35552.0,61,F,Florida,Country Club,33015,25.94123413,-80.31771291
39680.0,25,F,Minnesota,Maplewood,55109,45.01468869,-93.02745955
66168.0,49,F,New Jersey,Maplewood,7040,40.7291655,-74.26789599
77038.0,34,F,Indiana,Valparaiso,46385,41.46190467,-87.12406608
71564.0,65,M,New York,New York,10040,40.8614673,-73.9332049
2105.0,40,M,Michigan,Mount Morris Township,48504,43.05740904,-83.74951233
43976.0,67,M,Arizona,Phoenix,85048,33.28918984,-112.0408019
25575.0,23,M,New York,New York,10040,40.8614673,-73.9332049
44288.0,49,M,Mississippi,Pearl,39208,32.25957069,-90.08806865
61914.0,62,M,California,Delano,93215,35.77540666,-119.1752544
24443.0,33,M,New York,New York,10467,40.87509936,-73.87188358
31768.0,50,M,Tennessee,Murfreesboro,37130,35.87781645,-86.3295339
12789.0,32,M,Georgia,,30016,33.51797284,-83.93211706
14358.0,49,M,New York,New York,10033,40.85031879,-73.93875553
64550.0,34,M,Connecticut,Bristol,6010,41.68215079,-72.94179831
25294.0,21,M,New York,New York,10457,40.84565137,-73.89798946
80056.0,24,M,New York,New York,10312,40.54692262,-74.18333614
29046.0,57,M,Colorado,Thornton,80229,39.85448079,-104.9587279
60908.0,30,M,North Carolina,Wilmington,28409,34.14974183,-77.86524601
98394.0,62,M,New Hampshire,Derry,3038,42.88898412,-71.28030477
80909.0,18,M,California,Los Alamitos,90720,33.79502174,-118.0647107
26802.0,51,M,Texas,Dallas,75217,32.71132842,-96.68163632
10010.0,59,M,Florida,Tallahassee,32312,30.60454371,-84.23191223
