order_item_id,invoice_no,customer_id,product_id,transaction_date,retail_price,quantity,sales
51224,35223,28215,14235,2023-12-03 13:23:00+00:00,0.0199999995529651,3,0.059999998658895305
154022,106052,84693,14235,2023-09-15 12:39:00+00:00,0.0199999995529651,5,0.09999999776482552
51226,35223,28215,10641,2023-12-03 13:23:00+00:00,16.0,2,32.0
165382,113918,90977,10641,2022-04-22 08:26:00+00:00,16.0,3,48.0
51227,35223,28215,5268,2023-12-03 13:23:00+00:00,19.989999771118164,4,79.95999908447266
51225,35223,28215,13268,2023-12-03 13:23:00+00:00,78.0,1,78.0
4552,3139,2518,13268,2023-08-24 18:40:00+00:00,78.0,1,78.0
51222,35222,28215,7101,2022-08-24 13:23:00+00:00,19.950000762939453,1,19.950000762939453
181745,125217,99992,7101,2022-08-06 14:25:00+00:00,19.950000762939453,3,59.85000228881836
51223,35222,28215,8039,2022-08-24 13:23:00+00:00,169.0,3,507.0
67147,46204,36983,8039,2023-02-07 18:55:00+00:00,169.0,4,676.0
154023,106052,84693,8441,2023-09-15 12:39:00+00:00,45.220001220703125,1,45.220001220703125
83385,57368,45929,8441,2022-05-15 10:44:00+00:00,45.220001220703125,2,90.44000244140625
49514,34063,27314,8441,2023-10-02 00:52:00+00:00,45.220001220703125,4,180.8800048828125
3139,2164,1760,17855,2023-10-02 06:57:00+00:00,45.930000305175774,2,91.86000061035155
34860,23999,19163,17855,2023-07-18 13:05:00+00:00,45.930000305175774,2,91.86000061035155
3142,2166,1760,26734,2022-02-10 06:57:00+00:00,73.93000030517578,6,443.5800018310547
172489,118755,94853,26734,2022-04-16 06:54:00+00:00,73.93000030517578,3,221.79000091552734
56550,38931,31182,26734,2023-04-15 11:58:00+00:00,73.93000030517578,2,147.86000061035156
32161,22201,17710,26734,2023-11-18 06:02:00+00:00,73.93000030517578,3,221.79000091552734
80164,55159,44189,14202,2023-01-15 13:31:00+00:00,1.5,1,1.5
80165,55159,44189,5493,2023-01-15 13:31:00+00:00,25.0,1,25.0
123936,85334,68055,13629,2023-12-11 04:11:00+00:00,1.5099999904632568,5,7.549999952316284
29454,20362,16244,13629,2023-12-01 18:05:00+00:00,1.5099999904632568,3,4.5299999713897705
70326,48347,38681,13629,2022-04-08 14:41:00+00:00,1.5099999904632568,7,10.569999933242798
123935,85334,68055,8808,2023-12-11 04:11:00+00:00,124.98999786376952,1,124.98999786376952
85415,58762,46953,8808,2022-07-28 01:59:00+00:00,124.98999786376952,5,624.9499893188475
123938,85335,68055,9384,2023-10-30 04:11:00+00:00,11.989999771118164,4,47.959999084472656
123937,85335,68055,6767,2023-10-30 04:11:00+00:00,51.970001220703125,1,51.970001220703125
156224,107558,85940,14298,2022-09-23 15:34:00+00:00,1.7200000286102295,7,12.040000200271606
49378,33965,27223,14298,2023-05-14 02:49:00+00:00,1.7200000286102295,8,13.760000228881836
156226,107558,85940,3282,2022-09-23 15:34:00+00:00,16.989999771118164,1,16.989999771118164
156225,107558,85940,3263,2022-09-23 15:34:00+00:00,39.9900016784668,1,39.9900016784668
156227,107558,85940,4782,2022-09-23 15:34:00+00:00,110.0,5,550.0
7932,5506,4351,4782,2023-11-12 11:56:00+00:00,110.0,3,330.0
156229,107559,85940,10922,2022-06-01 15:34:00+00:00,24.0,6,144.0
112540,77556,61890,10922,2023-08-21 11:02:00+00:00,24.0,3,72.0
156228,107559,85940,15345,2022-06-01 15:34:00+00:00,37.9900016784668,4,151.9600067138672
156223,107557,85940,5071,2022-03-18 15:34:00+00:00,105.0,1,105.0
49376,33965,27223,10256,2023-05-14 02:49:00+00:00,64.0,5,320.0
76142,52403,41992,10256,2023-12-11 15:28:00+00:00,64.0,4,256.0
122373,84278,67212,10256,2022-07-20 16:47:00+00:00,64.0,2,128.0
49377,33965,27223,3861,2023-05-14 02:49:00+00:00,378.0,4,1512.0
142665,98223,78394,3861,2022-10-19 16:16:00+00:00,378.0,5,1890.0
141903,97675,77949,3861,2023-11-06 17:41:00+00:00,378.0,5,1890.0
49375,33964,27223,8915,2022-11-14 02:49:00+00:00,13.5,2,27.0
156981,108070,86346,8915,2022-10-16 02:06:00+00:00,13.5,8,108.0
54259,37312,29891,8915,2023-01-10 11:05:00+00:00,13.5,3,40.5
57770,39766,31831,8915,2022-08-08 13:33:00+00:00,13.5,4,54.0
117438,80895,64513,12536,2023-11-04 07:11:00+00:00,1.75,6,10.5
117439,80895,64513,4004,2023-11-04 07:11:00+00:00,118.0,4,472.0
162084,111633,89169,4004,2023-12-28 18:10:00+00:00,118.0,1,118.0
117440,80896,64513,6166,2022-04-10 07:11:00+00:00,12.989999771118164,5,64.94999885559082
4115,2850,2297,6166,2022-11-15 15:03:00+00:00,12.989999771118164,2,25.979999542236328
117441,80896,64513,12024,2022-04-10 07:11:00+00:00,29.989999771118164,5,149.94999885559082
16821,11645,9338,12024,2023-06-25 06:14:00+00:00,29.989999771118164,3,89.96999931335449
117437,80894,64513,12189,2023-04-09 07:11:00+00:00,22.0,6,132.0
113616,78288,62459,12189,2023-11-11 13:40:00+00:00,22.0,5,110.0
106062,73063,58346,9204,2022-06-27 01:34:00+00:00,1.950000047683716,4,7.800000190734864
143189,98583,78667,9204,2023-08-04 07:52:00+00:00,1.950000047683716,6,11.700000286102297
106063,73063,58346,9483,2022-06-27 01:34:00+00:00,20.0,8,160.0
143190,98583,78667,15659,2023-08-04 07:52:00+00:00,28.690000534057617,1,28.690000534057617
81944,56359,45144,15659,2023-05-21 17:53:00+00:00,28.690000534057617,5,143.4500026702881
166576,114731,91647,3049,2023-04-20 08:57:00+00:00,1.950000047683716,6,11.700000286102297
166575,114731,91647,1247,2023-04-20 08:57:00+00:00,99.98999786376952,5,499.9499893188476
137891,94926,75741,1247,2022-11-20 09:18:00+00:00,99.98999786376952,3,299.96999359130854
16354,11304,9056,13606,2022-12-22 10:34:00+00:00,2.5,3,7.5
84694,58284,46591,13606,2023-02-19 06:51:00+00:00,2.5,3,7.5
156115,107484,85876,13606,2023-08-01 14:56:00+00:00,2.5,1,2.5
106562,73407,58613,13606,2023-09-30 15:08:00+00:00,2.5,7,17.5
16353,11304,9056,7039,2022-12-22 10:34:00+00:00,44.0,3,132.0
109183,75230,60029,7039,2023-11-14 15:35:00+00:00,44.0,1,44.0
16352,11303,9056,4149,2023-05-26 10:34:00+00:00,15.840000152587892,5,79.20000076293947
19638,13591,10914,4149,2023-05-27 13:31:00+00:00,15.840000152587892,5,79.20000076293947
16351,11302,9056,14673,2022-05-05 10:34:00+00:00,15.899999618530272,2,31.799999237060543
70534,48491,38807,14673,2023-09-09 00:22:00+00:00,15.899999618530272,3,47.69999885559081
84695,58285,46591,1129,2023-10-28 06:51:00+00:00,42.0,4,168.0
156116,107484,85876,12950,2023-08-01 14:56:00+00:00,230.0,3,690.0
116185,80048,63858,12950,2022-01-17 04:56:00+00:00,230.0,4,920.0
156114,107483,85876,2208,2023-08-12 14:56:00+00:00,55.4099998474121,2,110.8199996948242
129840,89410,71261,2208,2023-10-24 06:18:00+00:00,55.4099998474121,2,110.8199996948242
102241,70386,56230,2208,2023-02-02 03:35:00+00:00,55.4099998474121,4,221.6399993896484
106561,73407,58613,5286,2023-09-30 15:08:00+00:00,129.99000549316406,3,389.9700164794922
106563,73408,58613,9704,2022-09-11 15:08:00+00:00,49.0,3,147.0
106560,73406,58613,2829,2022-12-15 15:08:00+00:00,67.37000274658203,2,134.74000549316406
